dma_code,dma_name,week_start,week_end,search_interest,scaled_search_interest,is_partial
803,Los Angeles,2024-09-29T00:00:00Z,2024-10-06T00:00:00Z,9000,23,False
803,Los Angeles,2024-10-06T00:00:00Z,2024-10-13T00:00:00Z,6700,17,False
803,Los Angeles,2024-10-13T00:00:00Z,2024-10-20T00:00:00Z,8100,21,False
803,Los Angeles,2024-10-20T00:00:00Z,2024-10-27T00:00:00Z,8300,21,False
803,Los Angeles,2024-10-27T00:00:00Z,2024-11-03T00:00:00Z,7600,19,False
803,Los Angeles,2024-11-03T00:00:00Z,2024-11-10T00:00:00Z,9000,23,False
803,Los Angeles,2024-11-10T00:00:00Z,2024-11-17T00:00:00Z,8300,21,False
803,Los Angeles,2024-11-17T00:00:00Z,2024-11-24T00:00:00Z,10000,26,False
803,Los Angeles,2024-11-24T00:00:00Z,2024-12-01T00:00:00Z,8800,23,False
803,Los Angeles,2024-12-01T00:00:00Z,2024-12-08T00:00:00Z,9400,24,False
803,Los Angeles,2024-12-08T00:00:00Z,2024-12-15T00:00:00Z,7200,18,False
803,Los Angeles,2024-12-15T00:00:00Z,2024-12-22T00:00:00Z,8100,21,False
803,Los Angeles,2024-12-22T00:00:00Z,2024-12-29T00:00:00Z,6900,18,False
803,Los Angeles,2024-12-29T00:00:00Z,2025-01-05T00:00:00Z,8900,23,False
803,Los Angeles,2025-01-05T00:00:00Z,2025-01-12T00:00:00Z,10000,26,False
803,Los Angeles,2025-01-12T00:00:00Z,2025-01-19T00:00:00Z,13000,32,False
803,Los Angeles,2025-01-19T00:00:00Z,2025-01-26T00:00:00Z,8500,22,False
803,Los Angeles,2025-01-26T00:00:00Z,2025-02-02T00:00:00Z,9100,23,False
803,Los Angeles,2025-02-02T00:00:00Z,2025-02-09T00:00:00Z,8500,22,False
803,Los Angeles,2025-02-09T00:00:00Z,2025-02-16T00:00:00Z,6400,17,False
803,Los Angeles,2025-02-16T00:00:00Z,2025-02-23T00:00:00Z,7600,19,False
803,Los Angeles,2025-02-23T00:00:00Z,2025-03-02T00:00:00Z,6900,18,False
803,Los Angeles,2025-03-02T00:00:00Z,2025-03-09T00:00:00Z,7100,18,False
803,Los Angeles,2025-03-09T00:00:00Z,2025-03-16T00:00:00Z,7300,19,False
803,Los Angeles,2025-03-16T00:00:00Z,2025-03-23T00:00:00Z,8600,22,False
803,Los Angeles,2025-03-23T00:00:00Z,2025-03-30T00:00:00Z,9100,23,False
803,Los Angeles,2025-03-30T00:00:00Z,2025-04-06T00:00:00Z,7000,18,False
803,Los Angeles,2025-04-06T00:00:00Z,2025-04-13T00:00:00Z,8500,22,False
803,Los Angeles,2025-04-13T00:00:00Z,2025-04-20T00:00:00Z,8600,22,False
803,Los Angeles,2025-04-20T00:00:00Z,2025-04-27T00:00:00Z,8400,22,False
803,Los Angeles,2025-04-27T00:00:00Z,2025-05-04T00:00:00Z,8000,21,False
803,Los Angeles,2025-05-04T00:00:00Z,2025-05-11T00:00:00Z,8100,21,False
803,Los Angeles,2025-05-11T00:00:00Z,2025-05-18T00:00:00Z,7100,18,False
803,Los Angeles,2025-05-18T00:00:00Z,2025-05-25T00:00:00Z,7700,20,False
803,Los Angeles,2025-05-25T00:00:00Z,2025-06-01T00:00:00Z,7500,19,False
803,Los Angeles,2025-06-01T00:00:00Z,2025-06-08T00:00:00Z,8200,21,False
803,Los Angeles,2025-06-08T00:00:00Z,2025-06-15T00:00:00Z,7700,20,False
803,Los Angeles,2025-06-15T00:00:00Z,2025-06-22T00:00:00Z,8500,22,False
803,Los Angeles,2025-06-22T00:00:00Z,2025-06-29T00:00:00Z,8600,22,False
803,Los Angeles,2025-06-29T00:00:00Z,2025-07-06T00:00:00Z,8500,22,False
803,Los Angeles,2025-07-06T00:00:00Z,2025-07-13T00:00:00Z,9400,24,False
803,Los Angeles,2025-07-13T00:00:00Z,2025-07-20T00:00:00Z,10000,27,False
803,Los Angeles,2025-07-20T00:00:00Z,2025-07-27T00:00:00Z,13000,34,False
803,Los Angeles,2025-07-27T00:00:00Z,2025-08-03T00:00:00Z,15000,38,False
803,Los Angeles,2025-08-03T00:00:00Z,2025-08-10T00:00:00Z,9700,25,False
803,Los Angeles,2025-08-10T00:00:00Z,2025-08-17T00:00:00Z,8800,23,False
803,Los Angeles,2025-08-17T00:00:00Z,2025-08-24T00:00:00Z,8600,22,False
803,Los Angeles,2025-08-24T00:00:00Z,2025-08-31T00:00:00Z,8000,21,False
803,Los Angeles,2025-08-31T00:00:00Z,2025-09-07T00:00:00Z,9000,23,False
803,Los Angeles,2025-09-07T00:00:00Z,2025-09-14T00:00:00Z,7300,19,False
803,Los Angeles,2025-09-14T00:00:00Z,2025-09-21T00:00:00Z,8600,22,False
803,Los Angeles,2025-09-21T00:00:00Z,2025-09-28T00:00:00Z,11000,27,False
803,Los Angeles,2025-09-28T00:00:00Z,2025-10-05T00:00:00Z,10000,26,False
803,Los Angeles,2025-10-05T00:00:00Z,2025-10-12T00:00:00Z,9800,25,False
803,Los Angeles,2025-10-12T00:00:00Z,2025-10-19T00:00:00Z,8900,23,False
803,Los Angeles,2025-10-19T00:00:00Z,2025-10-26T00:00:00Z,20000,51,False
803,Los Angeles,2025-10-26T00:00:00Z,2025-11-02T00:00:00Z,37000,95,False
803,Los Angeles,2025-11-02T00:00:00Z,2025-11-09T00:00:00Z,39000,100,False
803,Los Angeles,2025-11-09T00:00:00Z,2025-11-16T00:00:00Z,21000,54,False
803,Los Angeles,2025-11-16T00:00:00Z,2025-11-23T00:00:00Z,18000,47,False
803,Los Angeles,2025-11-23T00:00:00Z,2025-11-30T00:00:00Z,17000,43,False
803,Los Angeles,2025-11-30T00:00:00Z,2025-12-07T00:00:00Z,19000,48,False
803,Los Angeles,2025-12-07T00:00:00Z,2025-12-14T00:00:00Z,17000,45,False
803,Los Angeles,2025-12-14T00:00:00Z,2025-12-21T00:00:00Z,16000,40,False
803,Los Angeles,2025-12-21T00:00:00Z,2025-12-28T00:00:00Z,12000,32,False
803,Los Angeles,2025-12-28T00:00:00Z,2026-01-04T00:00:00Z,15000,38,False
803,Los Angeles,2026-01-04T00:00:00Z,2026-01-11T00:00:00Z,12000,31,False
803,Los Angeles,2026-01-11T00:00:00Z,2026-01-18T00:00:00Z,14000,35,False
803,Los Angeles,2026-01-18T00:00:00Z,2026-01-25T00:00:00Z,15000,40,False
803,Los Angeles,2026-01-25T00:00:00Z,2026-02-01T00:00:00Z,18000,46,False
803,Los Angeles,2026-02-01T00:00:00Z,2026-02-08T00:00:00Z,16000,40,False
803,Los Angeles,2026-02-08T00:00:00Z,2026-02-15T00:00:00Z,15000,38,False
803,Los Angeles,2026-02-15T00:00:00Z,2026-02-22T00:00:00Z,17000,45,False
803,Los Angeles,2026-02-22T00:00:00Z,2026-03-01T00:00:00Z,16000,42,False
803,Los Angeles,2026-03-01T00:00:00Z,2026-03-08T00:00:00Z,16000,42,False
803,Los Angeles,2026-03-08T00:00:00Z,2026-03-15T00:00:00Z,16000,41,False
803,Los Angeles,2026-03-15T00:00:00Z,2026-03-22T00:00:00Z,18000,46,False
803,Los Angeles,2026-03-22T00:00:00Z,2026-03-29T00:00:00Z,19000,49,False
803,Los Angeles,2026-03-29T00:00:00Z,2026-04-05T00:00:00Z,22000,56,False
803,Los Angeles,2026-04-05T00:00:00Z,2026-04-12T00:00:00Z,21000,54,False
803,Los Angeles,2026-04-12T00:00:00Z,2026-04-19T00:00:00Z,23000,59,False
803,Los Angeles,2026-04-19T00:00:00Z,2026-04-26T00:00:00Z,20000,51,False
803,Los Angeles,2026-04-26T00:00:00Z,2026-05-03T00:00:00Z,19000,49,False
803,Los Angeles,2026-05-03T00:00:00Z,2026-05-10T00:00:00Z,19000,49,False
803,Los Angeles,2026-05-10T00:00:00Z,2026-05-17T00:00:00Z,22000,58,False
803,Los Angeles,2026-05-17T00:00:00Z,2026-05-24T00:00:00Z,21000,54,False
803,Los Angeles,2026-05-24T00:00:00Z,2026-05-31T00:00:00Z,24000,63,False
803,Los Angeles,2026-05-31T00:00:00Z,2026-06-07T00:00:00Z,22000,56,False
803,Los Angeles,2026-06-07T00:00:00Z,2026-06-14T00:00:00Z,12000,30,False
803,Los Angeles,2026-06-14T00:00:00Z,2026-06-21T00:00:00Z,9500,24,True
807,San Francisco-Oakland-San Jose,2023-12-31T00:00:00Z,2024-01-07T00:00:00Z,19000,32,False
807,San Francisco-Oakland-San Jose,2024-01-07T00:00:00Z,2024-01-14T00:00:00Z,16000,26,False
807,San Francisco-Oakland-San Jose,2024-01-14T00:00:00Z,2024-01-21T00:00:00Z,15000,26,False
807,San Francisco-Oakland-San Jose,2024-01-21T00:00:00Z,2024-01-28T00:00:00Z,17000,28,False
807,San Francisco-Oakland-San Jose,2024-01-28T00:00:00Z,2024-02-04T00:00:00Z,15000,26,False
807,San Francisco-Oakland-San Jose,2024-02-04T00:00:00Z,2024-02-11T00:00:00Z,14000,23,False
807,San Francisco-Oakland-San Jose,2024-02-11T00:00:00Z,2024-02-18T00:00:00Z,14000,23,False
807,San Francisco-Oakland-San Jose,2024-02-18T00:00:00Z,2024-02-25T00:00:00Z,13000,23,False
807,San Francisco-Oakland-San Jose,2024-02-25T00:00:00Z,2024-03-03T00:00:00Z,16000,27,False
807,San Francisco-Oakland-San Jose,2024-03-03T00:00:00Z,2024-03-10T00:00:00Z,13000,23,False
807,San Francisco-Oakland-San Jose,2024-03-10T00:00:00Z,2024-03-17T00:00:00Z,18000,31,False
807,San Francisco-Oakland-San Jose,2024-03-17T00:00:00Z,2024-03-24T00:00:00Z,15000,26,False
807,San Francisco-Oakland-San Jose,2024-03-24T00:00:00Z,2024-03-31T00:00:00Z,16000,27,False
807,San Francisco-Oakland-San Jose,2024-03-31T00:00:00Z,2024-04-07T00:00:00Z,14000,24,False
807,San Francisco-Oakland-San Jose,2024-04-07T00:00:00Z,2024-04-14T00:00:00Z,14000,24,False
807,San Francisco-Oakland-San Jose,2024-04-14T00:00:00Z,2024-04-21T00:00:00Z,12000,21,False
807,San Francisco-Oakland-San Jose,2024-04-21T00:00:00Z,2024-04-28T00:00:00Z,15000,26,False
807,San Francisco-Oakland-San Jose,2024-04-28T00:00:00Z,2024-05-05T00:00:00Z,16000,27,False
807,San Francisco-Oakland-San Jose,2024-05-05T00:00:00Z,2024-05-12T00:00:00Z,14000,25,False
